destination,country,description,category,average_cost,weather,activities,image_url
Paris,France,Ciudad romántica con gran riqueza cultural y gastronómica,Cultural,1980.36,Templado,"Museos, gastronomía, monumentos, shopping",https://images.unsplash.com/photo-1502602898657-3e91760cbb34
Lyon,France,Centro gastronómico y patrimonial con barrios medievales y riberas del Ródano,Urbano,1335.1,Templado,"Gastronomía, paseos a pie, museos, photo spots",https://images.unsplash.com/photo-1602087594298-706ccc894bfd
Marseille,France,"Puerto mediterráneo con mezcla cultural, mercados y costa",Cultural,1268.25,Cálido,"Playas, puerto viejo",https://images.unsplash.com/photo-1739353190153-f857475cf242
Nice,France,"Destino en la Riviera con paseo marítimo, playas y clima suave",Playa,1692.68,Cálido,"Playas, museos",https://images.unsplash.com/photo-1643914729809-4aa59fdc4c17
Bordeaux,France,Región vinícola famosa por sus bodegas y arquitectura del siglo XVIII,Cultural,1583.72,Templado,"Visitas a bodegas, gastronomía, arquitectura, food tours",https://images.unsplash.com/photo-1655574282152-8f3fbdfa8da4
Rome,Italy,Centro histórico con arquitectura milenaria y gastronomía reconocida,Histórico,1653.36,Templado,"Ruinas, museos",https://images.unsplash.com/photo-1552832230-c0197dd311b5
Venice,Italy,Ciudad única construida sobre canales con gran atractivo turístico,Cultural,1867.02,Templado,"Paseos en góndola, museos",https://plus.unsplash.com/premium_photo-1661963047742-dabc5a735357
Florence,Italy,Capital del Renacimiento y una de las ciudades más artísticas de Europa,Cultural,1444.91,Templado,"Museos, galerías, arquitectura, adventure park",https://images.unsplash.com/photo-1476362174823-3a23f4aa6d76
Milan,Italy,Centro financiero y de la moda con catedrales y shopping de alto nivel,Urbano,1378.96,Templado,"Compras, arquitectura, gastronomía, photo spots",https://images.unsplash.com/photo-1667020938802-2a2394842adf
Naples,Italy,"Ciudad histórica junto al Vesubio, puerta a Pompeya y la costa amalfitana",Histórico,1421.68,Cálido,"gastronomía, paseos costeros",https://images.unsplash.com/photo-1612698093158-e07ac200d44e
