destination,country,description,category,average_cost,weather,activities
Paris,France,Ciudad romántica con gran riqueza cultural y gastronómica,Cultural,1980.36,Templado,"Museos, gastronomía, monumentos, shopping"
Lyon,France,Centro gastronómico y patrimonial con barrios medievales y riberas del Ródano,Urbano,1335.1,Templado,"Gastronomía, paseos a pie, museos, photo spots"
Marseille,France,"Puerto mediterráneo con mezcla cultural, mercados y costa",Cultural,1268.25,Cálido,"Playas, puerto viejo"
Nice,France,"Destino en la Riviera con paseo marítimo, playas y clima suave",Playa,1692.68,Cálido,"Playas, museos"
Bordeaux,France,Región vinícola famosa por sus bodegas y arquitectura del siglo XVIII,Cultural,1583.72,Templado,"Visitas a bodegas, gastronomía, arquitectura, food tours"
Rome,Italy,Centro histórico con arquitectura milenaria y gastronomía reconocida,Histórico,1653.36,Templado,"Ruinas, museos"
Venice,Italy,Ciudad única construida sobre canales con gran atractivo turístico,Cultural,1867.02,Templado,"Paseos en góndola, museos"
Florence,Italy,Capital del Renacimiento y una de las ciudades más artísticas de Europa,Cultural,1444.91,Templado,"Museos, galerías, arquitectura, adventure park"
Milan,Italy,Centro financiero y de la moda con catedrales y shopping de alto nivel,Urbano,1378.96,Templado,"Compras, arquitectura, gastronomía, photo spots"
Naples,Italy,"Ciudad histórica junto al Vesubio, puerta a Pompeya y la costa amalfitana",Histórico,1421.68,Cálido,"gastronomía, paseos costeros"
Barcelona,Spain,Ciudad mediterránea con arquitectura única y vida nocturna activa,Urbano,1376.7,Cálido,"Playas, arte, gastronomía, photo spots"
Madrid,Spain,"Capital de España con museos, parques y un ambiente moderno",Urbano,1367.56,Templado,"gastronomía, recorridos urbanos"
Seville,Spain,"Corazón andaluz con palacios, flamenco y casco histórico atractivo",Histórico,1484.73,Cálido,"flamenco, recorridos a pie"
Valencia,Spain,"Ciudad costera con arquitectura moderna, playas y paella tradicional",Playa,1448.43,Cálido,"gastronomía, ciencia y arte"
Granada,Spain,Ciudad andaluza con la Alhambra y barrios históricos sobre la sierra,Histórico,1215.7,Templado,"senderismo, gastronomía"
Berlin,Germany,Ciudad moderna con historia reciente y vibrante vida cultural,Urbano,1550.3,Frío,"Museos, tours históricos, música, adventure park"
Munich,Germany,"Ciudad tradicional bávara, famosa por su arquitectura y festivales",Cultural,1776.2,Frío,"Museos, cervecerías"
Hamburg,Germany,"Puerto importante con canales, vida cultural y música",Naturaleza,1363.62,Frío,"Paseos por el puerto, museos, conciertos, food tours"
Cologne,Germany,Ciudad histórica a orillas del Rin con catedral gótica imponente,Histórico,1026.88,Frío,"Catedral, paseos en barco"
Frankfurt,Germany,Centro financiero con rascacielos y buenos enlaces para negocios,Urbano,1528.49,Frío,"Negocios, museos"
Amsterdam,Netherlands,Ciudad de canales con un ambiente relajado y museos importantes,Urbano,1670.48,Frío,"Museos, paseos en bicicleta, food tours"
Rotterdam,Netherlands,Puerto moderno con arquitectura contemporánea y vida cultural activa,Urbano,1562.29,Frío,"Arquitectura, puerto"
Utrecht,Netherlands,Ciudad universitaria con canales tranquilos y patrimonio medieval,Cultural,1467.78,Frío,"cafés, museos"
The Hague,Netherlands,Sede de instituciones internacionales y playas cercanas,Naturaleza,1673.01,Frío,"Instituciones, playas, museos, food tours"
Maastricht,Netherlands,"Ciudad histórica en el sur, famosa por su centro peatonal y gastronomía",Cultural,1297.78,Templado,"Paseos, gastronomía, festivales, photo spots"
Brussels,Belgium,Ciudad multicultural con arquitectura clásica y excelente gastronomía,Cultural,1769.0,Frío,"Museos, chocolates, tours, food tours"
Tokyo,Japan,Megaciudad tecnológica con tradición cultural milenaria,Urbano,2278.11,Templado,"Museos, templos, compras, food tours"
Kyoto,Japan,"Capital cultural de Japón, famosa por templos, jardines y tradiciones",Cultural,1697.77,Templado,"Templos, jardines, ceremonias, photo spots"
Osaka,Japan,Ciudad moderna llena de gastronomía y entretenimiento,Urbano,2027.79,Templado,"parques, museos"
Hiroshima,Japan,Ciudad histórica conocida por su memorial de la paz y cultura contemporánea,Histórico,1651.89,Templado,"Museos, memoriales, gastronomía, adventure park"
Sapporo,Japan,"Capital de Hokkaido, famosa por nieve, cerveza y festivales de invierno",Aventura,1573.91,Frío,"esquí, gastronomía local"
Seoul,South Korea,"Ciudad moderna con cultura pop, tecnología y palacios históricos",Urbano,1561.2,Frío,"templos, gastronomía"
Busan,South Korea,Ciudad costera famosa por playas y mercados tradicionales,Playa,1851.85,Cálido,"Playas, senderismo"
Daegu,South Korea,"Ciudad con tradición textil, festivales culturales y mercados locales",Urbano,957.93,Templado,"Mercados, festivales, gastronomía, photo spots"
Incheon,South Korea,Importante puerto y hub cercano a Seúl con ocio y playas urbanas,Aventura,1393.45,Templado,"Playas, paseos, gastronomía, shopping"
Jeju,South Korea,"Isla volcánica con paisajes naturales, cascadas y playas volcánicas",Aventura,1674.65,Templado,"Senderismo, tours naturales"
Bangkok,Thailand,"Ciudad vibrante con templos, mercados nocturnos y gastronomía",Familiar,1367.87,Tropical,"Templos, compras"
Phuket,Thailand,Isla tropical famosa por playas y actividades acuáticas,Playa,1322.49,Tropical,"Playas, snorkel"
Bali,Indonesia,"Isla paradisíaca con playas, templos y naturaleza exuberante",Relax,1239.76,Tropical,"Surf, senderismo"
Singapore,Singapore,"Ciudad-estado moderna, organizada y multicultural",Urbano,1544.36,Tropical,"Compras, parques, gastronomía, adventure park"
Sydney,Australia,Ciudad costera famosa por la Opera House y sus playas,Urbano,2153.61,Templado,"Playas, parques, museos, food tours"
Melbourne,Australia,Ciudad cultural con excelente calidad de vida y arte urbano,Urbano,2513.58,Templado,"cafés, galerías"
Auckland,New Zealand,"Ciudad rodeada de naturaleza, volcanes y actividades al aire libre",Aventura,2171.73,Templado,"Senderismo, tours"
Toronto,Canada,"Ciudad multicultural con museos, parques y vida urbana activa",Urbano,1820.01,Frío,"Museos, parques, gastronomía, local museums"
Vancouver,Canada,"Ciudad costera rodeada de montañas, ideal para actividades al aire libre",Aventura,2002.69,Frío,"Senderismo, esquí, tours, local museums"
New York,USA,"Ciudad icónica con rascacielos, museos y amplia vida cultural",Urbano,2358.38,Frío,"parques, espectáculos"
Los Angeles,USA,"Ciudad costera con clima cálido, playas y entretenimiento",Relax,1983.28,Cálido,"Playas, gastronomía"
Miami,USA,Destino playero internacional con vida nocturna y clima tropical,Relax,2069.15,Tropical,"compras, gastronomía"
San Francisco,USA,"Ciudad costera con puente icónico, colinas y escena tecnológica",Cultural,2159.42,Templado,"barrios, gastronomía"
Chicago,USA,Ciudad con bastantes edificios y vida cultural activa,Urbano,1482.79,Frío,"Arquitectura, gastronomía, shopping"
Cusco,Peru,Capital histórica del imperio Inca y puerta a Machu Picchu,Histórico,1334.81,Frío,"Ruinas, trekking, cultura, food tours"
Lima,Peru,Capital gastronómica de Sudamérica con clima templado y costa,Urbano,1098.03,Templado,"Gastronomía, museos, playas, local museums"
Arequipa,Peru,Ciudad colonial rodeada de volcanes y arquitectura con sillar blanco,Histórico,1122.73,Templado,"City tours, museos, trekking, photo spots"
Trujillo,Peru,Ciudad costera norteña con patrimonio colonial y Huacas precolombinas,Cultural,778.73,Templado,"Sitios arqueológicos, playas, gastronomía, adventure park"
Iquitos,Peru,Puerta de entrada a la Amazonía peruana con eco-turismo fluvial,Aventura,835.01,Tropical,"Excursiones en la selva, mercados"
Buenos Aires,Argentina,Capital vibrante con cultura europea y vida nocturna activa,Naturaleza,1127.22,Templado,"Museos, tango, recorridos urbanos, shopping"
